event,amplitude_A,damping_ratio_zeta,damping_coeff_zeta_omega,angular_freq_omega_d,natural_freq_omega_n,phase_phi,offset_baseline,period_days,decay_time_days,r2_oscillator,r2_exponential,aic_oscillator,aic_exponential,delta_aic,preferred_model
debate_1,0.050137480287350815,0.001120016053450313,0.0010000000000000013,0.8928437853200712,0.8928443453282736,-2.5284857744048392,0.01295377076201385,7.037272824749693,999.9999999999986,0.6469822637357109,0.0,-5178.272128650722,-4398.43325419767,779.8388744530521,oscillator
vp_debate,0.0520961256909258,0.004326042875552722,0.0038758481038941466,0.8959254329315435,0.8959338165133058,-1.6693092772217688,-0.00100193739033623,7.013067244469749,258.00804706337146,0.7048902881507156,0.02889709057670875,-5473.913804401358,-4619.141336390333,854.772468011025,oscillator
debate_2,-0.05044734461705825,0.0011064120566209557,0.0010000000000000013,0.9038218464285798,0.9038223996347774,2.2658591260871956,-0.0006151690890843246,6.951796232860903,999.9999999999986,0.6454234790037108,0.03871650153818118,-4043.109004734078,-3492.5850789472615,550.5239257868166,oscillator
election_day,-0.051394639902043536,0.0010873610782806597,0.0010000000000000002,0.9196571670598801,0.91965771074058,-0.34965497627796455,-0.0010460312044799894,6.832095189631116,999.9999999999998,0.5843783259878426,0.0,-2010.1204415275297,-1760.3242560149808,249.79618551254885,oscillator
election_called,0.06565590524625751,0.07359981182827297,0.06426687201568886,0.8708252020134465,0.8731934283424496,0.78548260494095,0.006785655483701099,7.215208393891392,15.560116256410916,0.6488731402310646,0.03063885347005968,-1311.5917440111734,-1131.7881154278296,179.80362858334388,oscillator
