event,n_points,amplitude_A,damping_ratio_zeta,damping_coeff_zeta_omega,angular_freq_omega_d,phase_phi,offset_baseline,period_days,decay_time_days,r2_oscillator,r2_exponential,aic_oscillator,aic_exponential,delta_aic,preferred_model
covid_who_pandemic,38,-0.056708653534885,0.01754900651193998,0.01620569346278606,0.9233114048424853,0.9297791033125108,-0.04286033099831234,6.805055449576606,61.70670834274076,0.6217817204155074,0.00021635097112304713,-223.52849419055426,-197.39440428118212,26.134089909372136,oscillator
george_floyd,38,-0.040040077778860594,0.001948798949123956,0.0017272119421529986,0.886293921242405,0.043996064654588524,-0.029890760516979215,7.089279477819085,578.967743097864,0.6705181498200745,0.0,-239.56445311217487,-209.14255443875646,30.42189867341841,oscillator
us_election_2020,38,-0.03756201558980108,0.0011190730597722951,0.0010000000000000009,0.8935961464759276,0.7270752396506451,-0.03741928774945973,7.031347809587771,999.9999999999991,0.7627279755532153,0.017323318112119734,-256.1664818841396,-216.11322226136187,40.053259622777745,oscillator
jan6_capitol,38,0.04358326391133484,0.001118230048466083,0.0010000000000000002,0.8942698116119485,-1.3865713542826887,-0.041009881146872935,7.026051003392314,999.9999999999998,0.607618198374011,0.06467794958426976,-223.42529311016108,-200.49697076830589,22.928322341855193,oscillator
ukraine_invasion,38,-0.047166083724780115,0.0011181152099700596,0.0010000000000000002,0.8943616596860094,2.49869746781589,-0.04344713012209462,7.0253294504881545,999.9999999999998,0.611108121686813,0.005006687425929246,-220.39673184725788,-195.27425742129185,25.122474425966033,oscillator
